location,location_type,country,province,county,city
Colombia-Huila-Gigante,city,Colombia,Huila,Gigante,Gigante
Colombia-Huila-Guadalupe,city,Colombia,Huila,Guadalupe,Guadalupe
Colombia-Huila-Hobo,city,Colombia,Huila,Hobo,Hobo
Colombia-Huila-Iquira,city,Colombia,Huila,Iquira,Iquira
Colombia-Huila-Isnos,city,Colombia,Huila,Isnos,Isnos
Colombia-Huila-La_Argentina,city,Colombia,Huila,La Argentina,La Argentina
Colombia-Huila-La_Plata,city,Colombia,Huila,La Plata,La Plata
Colombia-Huila-Nataga,city,Colombia,Huila,Nataga,Nataga
Colombia-Huila-Oporapa,city,Colombia,Huila,Oporapa,Oporapa
Colombia-Huila-Paicol,city,Colombia,Huila,Paicol,Paicol
Colombia-Huila-Palermo,city,Colombia,Huila,Palermo,Palermo
Colombia-Huila-Palestina,city,Colombia,Huila,Palestina,Palestina
Colombia-Huila-Pital,city,Colombia,Huila,Pital,Pital
Colombia-Huila-Pitalito,city,Colombia,Huila,Pitalito,Pitalito
Colombia-Huila-Rivera,city,Colombia,Huila,Rivera,Rivera
Colombia-Huila-Saladoblanco,city,Colombia,Huila,Saladoblanco,Saladoblanco
Colombia-Huila-San_Agustin,city,Colombia,Huila,San Agustin,San Agustin
Colombia-Huila-Santa_Maria,city,Colombia,Huila,Santa Maria,Santa Maria
Colombia-Huila-Suaza,city,Colombia,Huila,Suaza,Suaza
Colombia-Huila-Tarqui,city,Colombia,Huila,Tarqui,Tarqui
Colombia-Huila-Tesalia,city,Colombia,Huila,Tesalia,Tesalia
Colombia-Huila-Tello,city,Colombia,Huila,Tello,Tello
Colombia-Huila-Teruel,city,Colombia,Huila,Teruel,Teruel
Colombia-Huila-Timana,city,Colombia,Huila,Timana,Timana
Colombia-Huila-Villavieja,city,Colombia,Huila,Villavieja,Villavieja
Colombia-Huila-Yaguara,city,Colombia,Huila,Yaguara,Yaguara
Colombia-Guajira-Riohacha,city,Colombia,Guajira,Riohacha,Riohacha
Colombia-Guajira-Albania,city,Colombia,Guajira,Albania,Albania
Colombia-Guajira-Barrancas,city,Colombia,Guajira,Barrancas,Barrancas
Colombia-Guajira-Dibulla,city,Colombia,Guajira,Dibulla,Dibulla
Colombia-Guajira-Distraccion,city,Colombia,Guajira,Distraccion,Distraccion
Colombia-Guajira-El_Molino,city,Colombia,Guajira,El Molino,El Molino
Colombia-Guajira-Fonseca,city,Colombia,Guajira,Fonseca,Fonseca
Colombia-Guajira-Hatonuevo,city,Colombia,Guajira,Hatonuevo,Hatonuevo
Colombia-Guajira-La_Jagua_Del_Pilar,city,Colombia,Guajira,La Jagua Del Pilar,La Jagua Del Pilar
Colombia-Guajira-Maicao,city,Colombia,Guajira,Maicao,Maicao
Colombia-Guajira-Manaure,city,Colombia,Guajira,Manaure,Manaure
Colombia-Guajira-San_Juan_Del_Cesar,city,Colombia,Guajira,San Juan Del Cesar,San Juan Del Cesar
Colombia-Guajira-Uribia,city,Colombia,Guajira,Uribia,Uribia
Colombia-Guajira-Urumita,city,Colombia,Guajira,Urumita,Urumita
Colombia-Guajira-Villanueva,city,Colombia,Guajira,Villanueva,Villanueva
Colombia-Sta_Marta_DE-Santa_Marta,city,Colombia,Sta Marta DE,Santa Marta,Santa Marta
Colombia-Magdalena-Sitio_Nuevo,city,Colombia,Magdalena,Sitio Nuevo,Sitio Nuevo
Colombia-Magdalena-Algarrobo,city,Colombia,Magdalena,Algarrobo,Algarrobo
Colombia-Magdalena-Aracataca,city,Colombia,Magdalena,Aracataca,Aracataca
Colombia-Magdalena-Ariguani,city,Colombia,Magdalena,Ariguani,Ariguani
Colombia-Magdalena-Cerro_San_Antonio,city,Colombia,Magdalena,Cerro San Antonio,Cerro San Antonio
Colombia-Magdalena-Chibolo,city,Colombia,Magdalena,Chibolo,Chibolo
Colombia-Magdalena-Cienaga,city,Colombia,Magdalena,Cienaga,Cienaga
Colombia-Magdalena-Concordia,city,Colombia,Magdalena,Concordia,Concordia
Colombia-Magdalena-El_Banco,city,Colombia,Magdalena,El Banco,El Banco
Colombia-Magdalena-El_Pinon,city,Colombia,Magdalena,El Pinon,El Pinon
Colombia-Magdalena-El_Reten,city,Colombia,Magdalena,El Reten,El Reten
Colombia-Magdalena-Fundacion,city,Colombia,Magdalena,Fundacion,Fundacion
Colombia-Magdalena-Guamal,city,Colombia,Magdalena,Guamal,Guamal
Colombia-Magdalena-Nueva_Granada,city,Colombia,Magdalena,Nueva Granada,Nueva Granada
Colombia-Magdalena-Pedraza,city,Colombia,Magdalena,Pedraza,Pedraza
Colombia-Magdalena-Pijino_Del_Carmen,city,Colombia,Magdalena,Pijino Del Carmen,Pijino Del Carmen
Colombia-Magdalena-Pivijay,city,Colombia,Magdalena,Pivijay,Pivijay
Colombia-Magdalena-Plato,city,Colombia,Magdalena,Plato,Plato
Colombia-Magdalena-Puebloviejo,city,Colombia,Magdalena,Puebloviejo,Puebloviejo
Colombia-Magdalena-Remolino,city,Colombia,Magdalena,Remolino,Remolino
Colombia-Magdalena-Sabanas_De_San_Angel,city,Colombia,Magdalena,Sabanas De San Angel,Sabanas De San Angel
Colombia-Magdalena-Salamina,city,Colombia,Magdalena,Salamina,Salamina
Colombia-Magdalena-San_Sebastian_De_Buenavista,city,Colombia,Magdalena,San Sebastian De Buenavista,San Sebastian De Buenavista
Colombia-Magdalena-San_Zenon,city,Colombia,Magdalena,San Zenon,San Zenon
Colombia-Magdalena-Santa_Ana,city,Colombia,Magdalena,Santa Ana,Santa Ana
Colombia-Magdalena-Santa_Barbara_De_Pinto,city,Colombia,Magdalena,Santa Barbara De Pinto,Santa Barbara De Pinto
Colombia-Magdalena-Sitionuevo,city,Colombia,Magdalena,Sitionuevo,Sitionuevo
Colombia-Magdalena-Tenerife,city,Colombia,Magdalena,Tenerife,Tenerife
Colombia-Magdalena-Zapayan,city,Colombia,Magdalena,Zapayan,Zapayan
Colombia-Magdalena-Zona_Bananera,city,Colombia,Magdalena,Zona Bananera,Zona Bananera
Colombia-Meta-Villavicencio,city,Colombia,Meta,Villavicencio,Villavicencio
Colombia-Meta-Acacias,city,Colombia,Meta,Acacias,Acacias
Colombia-Meta-Barranca_De_Upia,city,Colombia,Meta,Barranca De Upia,Barranca De Upia
Colombia-Meta-Cabuyaro,city,Colombia,Meta,Cabuyaro,Cabuyaro
Colombia-Meta-Castilla_La_Nueva,city,Colombia,Meta,Castilla La Nueva,Castilla La Nueva
Colombia-Meta-Cubarral,city,Colombia,Meta,Cubarral,Cubarral
Colombia-Meta-Cumaral,city,Colombia,Meta,Cumaral,Cumaral
Colombia-Meta-El_Calvario,city,Colombia,Meta,El Calvario,El Calvario
Colombia-Meta-El_Castillo,city,Colombia,Meta,El Castillo,El Castillo
Colombia-Meta-El_Dorado,city,Colombia,Meta,El Dorado,El Dorado
Colombia-Meta-Fuente_De_Oro,city,Colombia,Meta,Fuente De Oro,Fuente De Oro
Colombia-Meta-Granada,city,Colombia,Meta,Granada,Granada
Colombia-Meta-Guamal,city,Colombia,Meta,Guamal,Guamal
Colombia-Meta-Mapiripan,city,Colombia,Meta,Mapiripan,Mapiripan
Colombia-Meta-Mesetas,city,Colombia,Meta,Mesetas,Mesetas
Colombia-Meta-La_Macarena,city,Colombia,Meta,La Macarena,La Macarena
Colombia-Meta-Uribe,city,Colombia,Meta,Uribe,Uribe
Colombia-Meta-Lejanias,city,Colombia,Meta,Lejanias,Lejanias
Colombia-Meta-Puerto_Concordia,city,Colombia,Meta,Puerto Concordia,Puerto Concordia
Colombia-Meta-Puerto_Gaitan,city,Colombia,Meta,Puerto Gaitan,Puerto Gaitan
Colombia-Meta-Puerto_Lopez,city,Colombia,Meta,Puerto Lopez,Puerto Lopez
Colombia-Meta-Puerto_Lleras,city,Colombia,Meta,Puerto Lleras,Puerto Lleras
Colombia-Meta-Puerto_Rico,city,Colombia,Meta,Puerto Rico,Puerto Rico
Colombia-Meta-Restrepo,city,Colombia,Meta,Restrepo,Restrepo
Colombia-Meta-San_Carlos_De_Guaroa,city,Colombia,Meta,San Carlos De Guaroa,San Carlos De Guaroa
Colombia-Meta-San_Juan_De_Arama,city,Colombia,Meta,San Juan De Arama,San Juan De Arama
Colombia-Meta-San_Juanito,city,Colombia,Meta,San Juanito,San Juanito
Colombia-Meta-San_Martin,city,Colombia,Meta,San Martin,San Martin
Colombia-Meta-Vistahermosa,city,Colombia,Meta,Vistahermosa,Vistahermosa
Colombia-Narino-Pasto,city,Colombia,Narino,Pasto,Pasto
Colombia-Narino-Alban,city,Colombia,Narino,Alban,Alban
Colombia-Narino-Aldana,city,Colombia,Narino,Aldana,Aldana
Colombia-Narino-Ancuya,city,Colombia,Narino,Ancuya,Ancuya
Colombia-Narino-Arboleda,city,Colombia,Narino,Arboleda,Arboleda
Colombia-Narino-Barbacoas,city,Colombia,Narino,Barbacoas,Barbacoas
Colombia-Narino-Belen,city,Colombia,Narino,Belen,Belen
Colombia-Narino-Buesaco,city,Colombia,Narino,Buesaco,Buesaco
Colombia-Narino-Colon,city,Colombia,Narino,Colon,Colon
Colombia-Narino-Consaca,city,Colombia,Narino,Consaca,Consaca
Colombia-Narino-Contadero,city,Colombia,Narino,Contadero,Contadero
Colombia-Narino-Cordoba,city,Colombia,Narino,Cordoba,Cordoba
Colombia-Narino-Cuaspud,city,Colombia,Narino,Cuaspud,Cuaspud
Colombia-Narino-Cumbal,city,Colombia,Narino,Cumbal,Cumbal
Colombia-Narino-Cumbitara,city,Colombia,Narino,Cumbitara,Cumbitara
Colombia-Narino-Chachagui,city,Colombia,Narino,Chachagui,Chachagui
Colombia-Narino-El_Charco,city,Colombia,Narino,El Charco,El Charco
Colombia-Narino-El_Penol,city,Colombia,Narino,El Penol,El Penol
Colombia-Narino-El_Rosario,city,Colombia,Narino,El Rosario,El Rosario
Colombia-Narino-El_Tablon_De_Gomez,city,Colombia,Narino,El Tablon De Gomez,El Tablon De Gomez
Colombia-Narino-El_Tambo,city,Colombia,Narino,El Tambo,El Tambo
Colombia-Narino-Funes,city,Colombia,Narino,Funes,Funes
Colombia-Narino-Guachucal,city,Colombia,Narino,Guachucal,Guachucal
Colombia-Narino-Guaitarilla,city,Colombia,Narino,Guaitarilla,Guaitarilla
Colombia-Narino-Gualmatan,city,Colombia,Narino,Gualmatan,Gualmatan
Colombia-Narino-Iles,city,Colombia,Narino,Iles,Iles
Colombia-Narino-Imues,city,Colombia,Narino,Imues,Imues
Colombia-Narino-Ipiales,city,Colombia,Narino,Ipiales,Ipiales
Colombia-Narino-La_Cruz,city,Colombia,Narino,La Cruz,La Cruz
Colombia-Narino-La_Florida,city,Colombia,Narino,La Florida,La Florida
Colombia-Narino-La_Llanada,city,Colombia,Narino,La Llanada,La Llanada
Colombia-Narino-La_Tola,city,Colombia,Narino,La Tola,La Tola
Colombia-Narino-La_Union,city,Colombia,Narino,La Union,La Union
Colombia-Narino-Leiva,city,Colombia,Narino,Leiva,Leiva
Colombia-Narino-Linares,city,Colombia,Narino,Linares,Linares
Colombia-Narino-Los_Andes,city,Colombia,Narino,Los Andes,Los Andes
Colombia-Narino-Magsi,city,Colombia,Narino,Magsi,Magsi
Colombia-Narino-Mallama,city,Colombia,Narino,Mallama,Mallama
Colombia-Narino-Mosquera,city,Colombia,Narino,Mosquera,Mosquera
Colombia-Narino-Narino,city,Colombia,Narino,Narino,Narino
Colombia-Narino-Olaya_Herrera,city,Colombia,Narino,Olaya Herrera,Olaya Herrera
Colombia-Narino-Ospina,city,Colombia,Narino,Ospina,Ospina
Colombia-Narino-Francisco_Pizarro,city,Colombia,Narino,Francisco Pizarro,Francisco Pizarro
Colombia-Narino-Policarpa,city,Colombia,Narino,Policarpa,Policarpa
Colombia-Narino-Potosi,city,Colombia,Narino,Potosi,Potosi
Colombia-Narino-Providencia,city,Colombia,Narino,Providencia,Providencia
Colombia-Narino-Puerres,city,Colombia,Narino,Puerres,Puerres
Colombia-Narino-Pupiales,city,Colombia,Narino,Pupiales,Pupiales
Colombia-Narino-Ricaurte,city,Colombia,Narino,Ricaurte,Ricaurte
Colombia-Narino-Roberto_Payan,city,Colombia,Narino,Roberto Payan,Roberto Payan
Colombia-Narino-Samaniego,city,Colombia,Narino,Samaniego,Samaniego
Colombia-Narino-Sandona,city,Colombia,Narino,Sandona,Sandona
Colombia-Narino-San_Bernardo,city,Colombia,Narino,San Bernardo,San Bernardo
Colombia-Narino-San_Lorenzo,city,Colombia,Narino,San Lorenzo,San Lorenzo
Colombia-Narino-San_Pablo,city,Colombia,Narino,San Pablo,San Pablo
Colombia-Narino-San_Pedro_De_Cartago,city,Colombia,Narino,San Pedro De Cartago,San Pedro De Cartago
Colombia-Narino-Santa_Barbara,city,Colombia,Narino,Santa Barbara,Santa Barbara
Colombia-Narino-Santacruz,city,Colombia,Narino,Santacruz,Santacruz
Colombia-Narino-Sapuyes,city,Colombia,Narino,Sapuyes,Sapuyes
Colombia-Narino-Taminango,city,Colombia,Narino,Taminango,Taminango
Colombia-Narino-Tangua,city,Colombia,Narino,Tangua,Tangua
Colombia-Narino-San_Andres_De_Tumaco,city,Colombia,Narino,San Andres De Tumaco,San Andres De Tumaco
Colombia-Narino-Tuquerres,city,Colombia,Narino,Tuquerres,Tuquerres
Colombia-Narino-Yacuanquer,city,Colombia,Narino,Yacuanquer,Yacuanquer
Colombia-Norte_Santander-Cucuta,city,Colombia,Norte Santander,Cucuta,Cucuta
Colombia-Norte_Santander-Abrego,city,Colombia,Norte Santander,Abrego,Abrego
Colombia-Norte_Santander-Arboledas,city,Colombia,Norte Santander,Arboledas,Arboledas
Colombia-Norte_Santander-Bochalema,city,Colombia,Norte Santander,Bochalema,Bochalema
Colombia-Norte_Santander-Bucarasica,city,Colombia,Norte Santander,Bucarasica,Bucarasica
Colombia-Norte_Santander-Cacota,city,Colombia,Norte Santander,Cacota,Cacota
Colombia-Norte_Santander-Cachira,city,Colombia,Norte Santander,Cachira,Cachira
Colombia-Norte_Santander-Chinacota,city,Colombia,Norte Santander,Chinacota,Chinacota
Colombia-Norte_Santander-Chitaga,city,Colombia,Norte Santander,Chitaga,Chitaga
Colombia-Norte_Santander-Convencion,city,Colombia,Norte Santander,Convencion,Convencion
Colombia-Norte_Santander-Cucutilla,city,Colombia,Norte Santander,Cucutilla,Cucutilla
Colombia-Norte_Santander-Durania,city,Colombia,Norte Santander,Durania,Durania
Colombia-Norte_Santander-El_Carmen,city,Colombia,Norte Santander,El Carmen,El Carmen
Colombia-Norte_Santander-El_Tarra,city,Colombia,Norte Santander,El Tarra,El Tarra
Colombia-Norte_Santander-El_Zulia,city,Colombia,Norte Santander,El Zulia,El Zulia
Colombia-Norte_Santander-Gramalote,city,Colombia,Norte Santander,Gramalote,Gramalote
Colombia-Norte_Santander-Hacari,city,Colombia,Norte Santander,Hacari,Hacari
Colombia-Norte_Santander-Herran,city,Colombia,Norte Santander,Herran,Herran
Colombia-Norte_Santander-Labateca,city,Colombia,Norte Santander,Labateca,Labateca
Colombia-Norte_Santander-La_Esperanza,city,Colombia,Norte Santander,La Esperanza,La Esperanza
Colombia-Norte_Santander-La_Playa,city,Colombia,Norte Santander,La Playa,La Playa
Colombia-Norte_Santander-Los_Patios,city,Colombia,Norte Santander,Los Patios,Los Patios
Colombia-Norte_Santander-Lourdes,city,Colombia,Norte Santander,Lourdes,Lourdes
Colombia-Norte_Santander-Mutiscua,city,Colombia,Norte Santander,Mutiscua,Mutiscua
Colombia-Norte_Santander-Ocana,city,Colombia,Norte Santander,Ocana,Ocana
Colombia-Norte_Santander-Pamplona,city,Colombia,Norte Santander,Pamplona,Pamplona
Colombia-Norte_Santander-Pamplonita,city,Colombia,Norte Santander,Pamplonita,Pamplonita
Colombia-Norte_Santander-Puerto_Santander,city,Colombia,Norte Santander,Puerto Santander,Puerto Santander
Colombia-Norte_Santander-Ragonvalia,city,Colombia,Norte Santander,Ragonvalia,Ragonvalia
Colombia-Norte_Santander-Salazar,city,Colombia,Norte Santander,Salazar,Salazar
Colombia-Norte_Santander-San_Calixto,city,Colombia,Norte Santander,San Calixto,San Calixto
Colombia-Norte_Santander-San_Cayetano,city,Colombia,Norte Santander,San Cayetano,San Cayetano
Colombia-Norte_Santander-Santiago,city,Colombia,Norte Santander,Santiago,Santiago
Colombia-Norte_Santander-Sardinata,city,Colombia,Norte Santander,Sardinata,Sardinata
Colombia-Norte_Santander-Silos,city,Colombia,Norte Santander,Silos,Silos
Colombia-Norte_Santander-Teorama,city,Colombia,Norte Santander,Teorama,Teorama
Colombia-Norte_Santander-Tibu,city,Colombia,Norte Santander,Tibu,Tibu
Colombia-Norte_Santander-Toledo,city,Colombia,Norte Santander,Toledo,Toledo
Colombia-Norte_Santander-Villa_Caro,city,Colombia,Norte Santander,Villa Caro,Villa Caro
Colombia-Norte_Santander-Villa_Del_Rosario,city,Colombia,Norte Santander,Villa Del Rosario,Villa Del Rosario
Colombia-Quindio-Armenia,city,Colombia,Quindio,Armenia,Armenia
Colombia-Quindio-Buenavista,city,Colombia,Quindio,Buenavista,Buenavista
Colombia-Quindio-Calarca,city,Colombia,Quindio,Calarca,Calarca
Colombia-Quindio-Circasia,city,Colombia,Quindio,Circasia,Circasia
Colombia-Quindio-Cordoba,city,Colombia,Quindio,Cordoba,Cordoba
Colombia-Quindio-Filandia,city,Colombia,Quindio,Filandia,Filandia
Colombia-Quindio-Genova,city,Colombia,Quindio,Genova,Genova
Colombia-Quindio-La_Tebaida,city,Colombia,Quindio,La Tebaida,La Tebaida
Colombia-Quindio-Montenegro,city,Colombia,Quindio,Montenegro,Montenegro
Colombia-Quindio-Pijao,city,Colombia,Quindio,Pijao,Pijao
Colombia-Quindio-Quimbaya,city,Colombia,Quindio,Quimbaya,Quimbaya
Colombia-Quindio-Salento,city,Colombia,Quindio,Salento,Salento
Colombia-Risaralda-Pereira,city,Colombia,Risaralda,Pereira,Pereira
Colombia-Risaralda-Apia,city,Colombia,Risaralda,Apia,Apia
Colombia-Risaralda-Balboa,city,Colombia,Risaralda,Balboa,Balboa
Colombia-Risaralda-Belen_De_Umbria,city,Colombia,Risaralda,Belen De Umbria,Belen De Umbria
Colombia-Risaralda-Dosquebradas,city,Colombia,Risaralda,Dosquebradas,Dosquebradas
Colombia-Risaralda-Guatica,city,Colombia,Risaralda,Guatica,Guatica
Colombia-Risaralda-La_Celia,city,Colombia,Risaralda,La Celia,La Celia
Colombia-Risaralda-La_Virginia,city,Colombia,Risaralda,La Virginia,La Virginia
Colombia-Risaralda-Marsella,city,Colombia,Risaralda,Marsella,Marsella
Colombia-Risaralda-Mistrato,city,Colombia,Risaralda,Mistrato,Mistrato
Colombia-Risaralda-Pueblo_Rico,city,Colombia,Risaralda,Pueblo Rico,Pueblo Rico
Colombia-Risaralda-Quinchia,city,Colombia,Risaralda,Quinchia,Quinchia
Colombia-Risaralda-Santa_Rosa_De_Cabal,city,Colombia,Risaralda,Santa Rosa De Cabal,Santa Rosa De Cabal
Colombia-Risaralda-Santuario,city,Colombia,Risaralda,Santuario,Santuario
Colombia-Santander-Bucaramanga,city,Colombia,Santander,Bucaramanga,Bucaramanga
Colombia-Santander-Aguada,city,Colombia,Santander,Aguada,Aguada
Colombia-Santander-Albania,city,Colombia,Santander,Albania,Albania
Colombia-Santander-Aratoca,city,Colombia,Santander,Aratoca,Aratoca
Colombia-Santander-Barbosa,city,Colombia,Santander,Barbosa,Barbosa
Colombia-Santander-Barichara,city,Colombia,Santander,Barichara,Barichara
Colombia-Santander-Barrancabermeja,city,Colombia,Santander,Barrancabermeja,Barrancabermeja
Colombia-Santander-Betulia,city,Colombia,Santander,Betulia,Betulia
Colombia-Santander-Bolivar,city,Colombia,Santander,Bolivar,Bolivar
Colombia-Santander-Cabrera,city,Colombia,Santander,Cabrera,Cabrera
Colombia-Santander-California,city,Colombia,Santander,California,California
Colombia-Santander-Capitanejo,city,Colombia,Santander,Capitanejo,Capitanejo
Colombia-Santander-Carcasi,city,Colombia,Santander,Carcasi,Carcasi
Colombia-Santander-Cepita,city,Colombia,Santander,Cepita,Cepita
Colombia-Santander-Cerrito,city,Colombia,Santander,Cerrito,Cerrito
Colombia-Santander-Charala,city,Colombia,Santander,Charala,Charala
Colombia-Santander-Charta,city,Colombia,Santander,Charta,Charta
Colombia-Santander-Chima,city,Colombia,Santander,Chima,Chima
Colombia-Santander-Chipata,city,Colombia,Santander,Chipata,Chipata
Colombia-Santander-Cimitarra,city,Colombia,Santander,Cimitarra,Cimitarra
Colombia-Santander-Concepcion,city,Colombia,Santander,Concepcion,Concepcion
Colombia-Santander-Confines,city,Colombia,Santander,Confines,Confines
Colombia-Santander-Contratacion,city,Colombia,Santander,Contratacion,Contratacion
Colombia-Santander-Coromoro,city,Colombia,Santander,Coromoro,Coromoro
Colombia-Santander-Curiti,city,Colombia,Santander,Curiti,Curiti
Colombia-Santander-El_Carmen_De_Chucuri,city,Colombia,Santander,El Carmen De Chucuri,El Carmen De Chucuri
Colombia-Santander-El_Guacamayo,city,Colombia,Santander,El Guacamayo,El Guacamayo
Colombia-Santander-El_Penon,city,Colombia,Santander,El Penon,El Penon
Colombia-Santander-El_Playon,city,Colombia,Santander,El Playon,El Playon
Colombia-Santander-Encino,city,Colombia,Santander,Encino,Encino
Colombia-Santander-Enciso,city,Colombia,Santander,Enciso,Enciso
Colombia-Santander-Florian,city,Colombia,Santander,Florian,Florian
Colombia-Santander-Floridablanca,city,Colombia,Santander,Floridablanca,Floridablanca
Colombia-Santander-Galan,city,Colombia,Santander,Galan,Galan
Colombia-Santander-Gambita,city,Colombia,Santander,Gambita,Gambita
Colombia-Santander-Giron,city,Colombia,Santander,Giron,Giron
Colombia-Santander-Guaca,city,Colombia,Santander,Guaca,Guaca
Colombia-Santander-Guadalupe,city,Colombia,Santander,Guadalupe,Guadalupe
Colombia-Santander-Guapota,city,Colombia,Santander,Guapota,Guapota
Colombia-Santander-Guavata,city,Colombia,Santander,Guavata,Guavata
Colombia-Santander-Gsepsa,city,Colombia,Santander,Gsepsa,Gsepsa
Colombia-Santander-Hato,city,Colombia,Santander,Hato,Hato
Colombia-Santander-Jesus_Maria,city,Colombia,Santander,Jesus Maria,Jesus Maria
Colombia-Santander-Jordan,city,Colombia,Santander,Jordan,Jordan
Colombia-Santander-La_Belleza,city,Colombia,Santander,La Belleza,La Belleza
Colombia-Santander-Landazuri,city,Colombia,Santander,Landazuri,Landazuri
Colombia-Santander-La_Paz,city,Colombia,Santander,La Paz,La Paz
Colombia-Santander-Lebrija,city,Colombia,Santander,Lebrija,Lebrija
Colombia-Santander-Los_Santos,city,Colombia,Santander,Los Santos,Los Santos
Colombia-Santander-Macaravita,city,Colombia,Santander,Macaravita,Macaravita
Colombia-Santander-Malaga,city,Colombia,Santander,Malaga,Malaga
Colombia-Santander-Matanza,city,Colombia,Santander,Matanza,Matanza
Colombia-Santander-Mogotes,city,Colombia,Santander,Mogotes,Mogotes
Colombia-Santander-Molagavita,city,Colombia,Santander,Molagavita,Molagavita
Colombia-Santander-Ocamonte,city,Colombia,Santander,Ocamonte,Ocamonte
Colombia-Santander-Oiba,city,Colombia,Santander,Oiba,Oiba
Colombia-Santander-Onzaga,city,Colombia,Santander,Onzaga,Onzaga
Colombia-Santander-Palmar,city,Colombia,Santander,Palmar,Palmar
Colombia-Santander-Palmas_Del_Socorro,city,Colombia,Santander,Palmas Del Socorro,Palmas Del Socorro
Colombia-Santander-Paramo,city,Colombia,Santander,Paramo,Paramo
Colombia-Santander-Piedecuesta,city,Colombia,Santander,Piedecuesta,Piedecuesta
Colombia-Santander-Pinchote,city,Colombia,Santander,Pinchote,Pinchote
Colombia-Santander-Puente_Nacional,city,Colombia,Santander,Puente Nacional,Puente Nacional
Colombia-Santander-Puerto_Parra,city,Colombia,Santander,Puerto Parra,Puerto Parra
Colombia-Santander-Puerto_Wilches,city,Colombia,Santander,Puerto Wilches,Puerto Wilches
Colombia-Santander-Rionegro,city,Colombia,Santander,Rionegro,Rionegro
Colombia-Santander-Sabana_De_Torres,city,Colombia,Santander,Sabana De Torres,Sabana De Torres
Colombia-Santander-San_Andres,city,Colombia,Santander,San Andres,San Andres
Colombia-Santander-San_Benito,city,Colombia,Santander,San Benito,San Benito
Colombia-Santander-San_Gil,city,Colombia,Santander,San Gil,San Gil
Colombia-Santander-San_Joaquin,city,Colombia,Santander,San Joaquin,San Joaquin
Colombia-Santander-San_Jose_De_Miranda,city,Colombia,Santander,San Jose De Miranda,San Jose De Miranda
Colombia-Santander-San_Miguel,city,Colombia,Santander,San Miguel,San Miguel
Colombia-Santander-San_Vicente_De_Chucuri,city,Colombia,Santander,San Vicente De Chucuri,San Vicente De Chucuri
Colombia-Santander-Santa_Barbara,city,Colombia,Santander,Santa Barbara,Santa Barbara
Colombia-Santander-Santa_Helena_Del_Opon,city,Colombia,Santander,Santa Helena Del Opon,Santa Helena Del Opon
Colombia-Santander-Simacota,city,Colombia,Santander,Simacota,Simacota
Colombia-Santander-Socorro,city,Colombia,Santander,Socorro,Socorro
Colombia-Santander-Suaita,city,Colombia,Santander,Suaita,Suaita
Colombia-Santander-Sucre,city,Colombia,Santander,Sucre,Sucre
Colombia-Santander-Surata,city,Colombia,Santander,Surata,Surata
Colombia-Santander-Tona,city,Colombia,Santander,Tona,Tona
Colombia-Santander-Valle_De_San_Jose,city,Colombia,Santander,Valle De San Jose,Valle De San Jose
Colombia-Santander-Velez,city,Colombia,Santander,Velez,Velez
Colombia-Santander-Vetas,city,Colombia,Santander,Vetas,Vetas
Colombia-Santander-Villanueva,city,Colombia,Santander,Villanueva,Villanueva
Colombia-Santander-Zapatoca,city,Colombia,Santander,Zapatoca,Zapatoca
Colombia-Sucre-Sincelejo,city,Colombia,Sucre,Sincelejo,Sincelejo
Colombia-Sucre-Buenavista,city,Colombia,Sucre,Buenavista,Buenavista
Colombia-Sucre-Caimito,city,Colombia,Sucre,Caimito,Caimito
Colombia-Sucre-Coloso,city,Colombia,Sucre,Coloso,Coloso
Colombia-Sucre-Corozal,city,Colombia,Sucre,Corozal,Corozal
Colombia-Sucre-Covenas,city,Colombia,Sucre,Covenas,Covenas
Colombia-Sucre-Chalan,city,Colombia,Sucre,Chalan,Chalan
Colombia-Sucre-El_Roble,city,Colombia,Sucre,El Roble,El Roble
Colombia-Sucre-Galeras,city,Colombia,Sucre,Galeras,Galeras
Colombia-Sucre-Guaranda,city,Colombia,Sucre,Guaranda,Guaranda
Colombia-Sucre-La_Union,city,Colombia,Sucre,La Union,La Union
Colombia-Sucre-Los_Palmitos,city,Colombia,Sucre,Los Palmitos,Los Palmitos
Colombia-Sucre-Majagual,city,Colombia,Sucre,Majagual,Majagual
Colombia-Sucre-Morroa,city,Colombia,Sucre,Morroa,Morroa
Colombia-Sucre-Ovejas,city,Colombia,Sucre,Ovejas,Ovejas
Colombia-Sucre-Palmito,city,Colombia,Sucre,Palmito,Palmito
Colombia-Sucre-Sampues,city,Colombia,Sucre,Sampues,Sampues
Colombia-Sucre-San_Benito_Abad,city,Colombia,Sucre,San Benito Abad,San Benito Abad
Colombia-Sucre-San_Juan_De_Betulia,city,Colombia,Sucre,San Juan De Betulia,San Juan De Betulia
Colombia-Sucre-San_Marcos,city,Colombia,Sucre,San Marcos,San Marcos
Colombia-Sucre-San_Onofre,city,Colombia,Sucre,San Onofre,San Onofre
Colombia-Sucre-San_Pedro,city,Colombia,Sucre,San Pedro,San Pedro
Colombia-Sucre-San_Luis_De_Since,city,Colombia,Sucre,San Luis De Since,San Luis De Since
Colombia-Sucre-Sucre,city,Colombia,Sucre,Sucre,Sucre
Colombia-Sucre-Santiago_De_Tolu,city,Colombia,Sucre,Santiago De Tolu,Santiago De Tolu
