location,location_type,country,province,county,city
Colombia-Antioquia-San_Luis,city,Colombia,Antioquia,San Luis,San Luis
Colombia-Antioquia-San_Pedro,city,Colombia,Antioquia,San Pedro,San Pedro
Colombia-Antioquia-San_Pedro_De_Uraba,city,Colombia,Antioquia,San Pedro De Uraba,San Pedro De Uraba
Colombia-Antioquia-San_Rafael,city,Colombia,Antioquia,San Rafael,San Rafael
Colombia-Antioquia-San_Roque,city,Colombia,Antioquia,San Roque,San Roque
Colombia-Antioquia-San_Vicente,city,Colombia,Antioquia,San Vicente,San Vicente
Colombia-Antioquia-Santa_Barbara,city,Colombia,Antioquia,Santa Barbara,Santa Barbara
Colombia-Antioquia-Santa_Rosa_De_Osos,city,Colombia,Antioquia,Santa Rosa De Osos,Santa Rosa De Osos
Colombia-Antioquia-Santo_Domingo,city,Colombia,Antioquia,Santo Domingo,Santo Domingo
Colombia-Antioquia-El_Santuario,city,Colombia,Antioquia,El Santuario,El Santuario
Colombia-Antioquia-Segovia,city,Colombia,Antioquia,Segovia,Segovia
Colombia-Antioquia-Sonson,city,Colombia,Antioquia,Sonson,Sonson
Colombia-Antioquia-Sopetran,city,Colombia,Antioquia,Sopetran,Sopetran
Colombia-Antioquia-Tamesis,city,Colombia,Antioquia,Tamesis,Tamesis
Colombia-Antioquia-Taraza,city,Colombia,Antioquia,Taraza,Taraza
Colombia-Antioquia-Tarso,city,Colombia,Antioquia,Tarso,Tarso
Colombia-Antioquia-Titiribi,city,Colombia,Antioquia,Titiribi,Titiribi
Colombia-Antioquia-Toledo,city,Colombia,Antioquia,Toledo,Toledo
Colombia-Antioquia-Turbo,city,Colombia,Antioquia,Turbo,Turbo
Colombia-Antioquia-Uramita,city,Colombia,Antioquia,Uramita,Uramita
Colombia-Antioquia-Urrao,city,Colombia,Antioquia,Urrao,Urrao
Colombia-Antioquia-Valdivia,city,Colombia,Antioquia,Valdivia,Valdivia
Colombia-Antioquia-Valparaiso,city,Colombia,Antioquia,Valparaiso,Valparaiso
Colombia-Antioquia-Vegachi,city,Colombia,Antioquia,Vegachi,Vegachi
Colombia-Antioquia-Venecia,city,Colombia,Antioquia,Venecia,Venecia
Colombia-Antioquia-Vigia_Del_Fuerte,city,Colombia,Antioquia,Vigia Del Fuerte,Vigia Del Fuerte
Colombia-Antioquia-Yali,city,Colombia,Antioquia,Yali,Yali
Colombia-Antioquia-Yarumal,city,Colombia,Antioquia,Yarumal,Yarumal
Colombia-Antioquia-Yolombo,city,Colombia,Antioquia,Yolombo,Yolombo
Colombia-Antioquia-Yondo,city,Colombia,Antioquia,Yondo,Yondo
Colombia-Antioquia-Zaragoza,city,Colombia,Antioquia,Zaragoza,Zaragoza
Colombia-Barranquilla-Barranquilla,city,Colombia,Barranquilla,Barranquilla,Barranquilla
Colombia-Atlantico-Baranoa,city,Colombia,Atlantico,Baranoa,Baranoa
Colombia-Atlantico-Campo_De_La_Cruz,city,Colombia,Atlantico,Campo De La Cruz,Campo De La Cruz
Colombia-Atlantico-Candelaria,city,Colombia,Atlantico,Candelaria,Candelaria
Colombia-Atlantico-Galapa,city,Colombia,Atlantico,Galapa,Galapa
Colombia-Atlantico-Juan_De_Acosta,city,Colombia,Atlantico,Juan De Acosta,Juan De Acosta
Colombia-Atlantico-Luruaco,city,Colombia,Atlantico,Luruaco,Luruaco
Colombia-Atlantico-Malambo,city,Colombia,Atlantico,Malambo,Malambo
Colombia-Atlantico-Manati,city,Colombia,Atlantico,Manati,Manati
Colombia-Atlantico-Palmar_De_Varela,city,Colombia,Atlantico,Palmar De Varela,Palmar De Varela
Colombia-Atlantico-Piojo,city,Colombia,Atlantico,Piojo,Piojo
Colombia-Atlantico-Polonuevo,city,Colombia,Atlantico,Polonuevo,Polonuevo
Colombia-Atlantico-Ponedera,city,Colombia,Atlantico,Ponedera,Ponedera
Colombia-Atlantico-Puerto_Colombia,city,Colombia,Atlantico,Puerto Colombia,Puerto Colombia
Colombia-Atlantico-Repelon,city,Colombia,Atlantico,Repelon,Repelon
Colombia-Atlantico-Sabanagrande,city,Colombia,Atlantico,Sabanagrande,Sabanagrande
Colombia-Atlantico-Sabanalarga,city,Colombia,Atlantico,Sabanalarga,Sabanalarga
Colombia-Atlantico-Santa_Lucia,city,Colombia,Atlantico,Santa Lucia,Santa Lucia
Colombia-Atlantico-Santo_Tomas,city,Colombia,Atlantico,Santo Tomas,Santo Tomas
Colombia-Atlantico-Soledad,city,Colombia,Atlantico,Soledad,Soledad
Colombia-Atlantico-Suan,city,Colombia,Atlantico,Suan,Suan
Colombia-Atlantico-Tubara,city,Colombia,Atlantico,Tubara,Tubara
Colombia-Atlantico-Usiacuri,city,Colombia,Atlantico,Usiacuri,Usiacuri
Colombia-Cartagena-Cartagena,city,Colombia,Cartagena,Cartagena,Cartagena
Colombia-Bolivar-Achi,city,Colombia,Bolivar,Achi,Achi
Colombia-Bolivar-Altos_Del_Rosario,city,Colombia,Bolivar,Altos Del Rosario,Altos Del Rosario
Colombia-Bolivar-Arenal,city,Colombia,Bolivar,Arenal,Arenal
Colombia-Bolivar-Arjona,city,Colombia,Bolivar,Arjona,Arjona
Colombia-Bolivar-Arroyohondo,city,Colombia,Bolivar,Arroyohondo,Arroyohondo
Colombia-Bolivar-Barranco_De_Loba,city,Colombia,Bolivar,Barranco De Loba,Barranco De Loba
Colombia-Bolivar-Calamar,city,Colombia,Bolivar,Calamar,Calamar
Colombia-Bolivar-Cantagallo,city,Colombia,Bolivar,Cantagallo,Cantagallo
Colombia-Bolivar-Cicuco,city,Colombia,Bolivar,Cicuco,Cicuco
Colombia-Bolivar-Cordoba,city,Colombia,Bolivar,Cordoba,Cordoba
Colombia-Bolivar-Clemencia,city,Colombia,Bolivar,Clemencia,Clemencia
Colombia-Bolivar-El_Carmen_De_Bolivar,city,Colombia,Bolivar,El Carmen De Bolivar,El Carmen De Bolivar
Colombia-Bolivar-El_Guamo,city,Colombia,Bolivar,El Guamo,El Guamo
Colombia-Bolivar-El_Penon,city,Colombia,Bolivar,El Penon,El Penon
Colombia-Bolivar-Hatillo_De_Loba,city,Colombia,Bolivar,Hatillo De Loba,Hatillo De Loba
Colombia-Bolivar-Magangue,city,Colombia,Bolivar,Magangue,Magangue
Colombia-Bolivar-Mahates,city,Colombia,Bolivar,Mahates,Mahates
Colombia-Bolivar-Margarita,city,Colombia,Bolivar,Margarita,Margarita
Colombia-Bolivar-Maria_La_Baja,city,Colombia,Bolivar,Maria La Baja,Maria La Baja
Colombia-Bolivar-Montecristo,city,Colombia,Bolivar,Montecristo,Montecristo
Colombia-Bolivar-Mompos,city,Colombia,Bolivar,Mompos,Mompos
Colombia-Bolivar-Norosi,city,Colombia,Bolivar,Norosi,Norosi
Colombia-Bolivar-Morales,city,Colombia,Bolivar,Morales,Morales
Colombia-Bolivar-Pinillos,city,Colombia,Bolivar,Pinillos,Pinillos
Colombia-Bolivar-Regidor,city,Colombia,Bolivar,Regidor,Regidor
Colombia-Bolivar-Rio_Viejo,city,Colombia,Bolivar,Rio Viejo,Rio Viejo
Colombia-Bolivar-San_Cristobal,city,Colombia,Bolivar,San Cristobal,San Cristobal
Colombia-Bolivar-San_Estanislao,city,Colombia,Bolivar,San Estanislao,San Estanislao
Colombia-Bolivar-San_Fernando,city,Colombia,Bolivar,San Fernando,San Fernando
Colombia-Bolivar-San_Jacinto,city,Colombia,Bolivar,San Jacinto,San Jacinto
Colombia-Bolivar-San_Jacinto_Del_Cauca,city,Colombia,Bolivar,San Jacinto Del Cauca,San Jacinto Del Cauca
Colombia-Bolivar-San_Juan_Nepomuceno,city,Colombia,Bolivar,San Juan Nepomuceno,San Juan Nepomuceno
Colombia-Bolivar-San_Martin_De_Loba,city,Colombia,Bolivar,San Martin De Loba,San Martin De Loba
Colombia-Bolivar-San_Pablo,city,Colombia,Bolivar,San Pablo,San Pablo
Colombia-Bolivar-Santa_Catalina,city,Colombia,Bolivar,Santa Catalina,Santa Catalina
Colombia-Bolivar-Santa_Rosa,city,Colombia,Bolivar,Santa Rosa,Santa Rosa
Colombia-Bolivar-Santa_Rosa_Del_Sur,city,Colombia,Bolivar,Santa Rosa Del Sur,Santa Rosa Del Sur
Colombia-Bolivar-Simiti,city,Colombia,Bolivar,Simiti,Simiti
Colombia-Bolivar-Soplaviento,city,Colombia,Bolivar,Soplaviento,Soplaviento
Colombia-Bolivar-Talaigua_Nuevo,city,Colombia,Bolivar,Talaigua Nuevo,Talaigua Nuevo
Colombia-Bolivar-Tiquisio,city,Colombia,Bolivar,Tiquisio,Tiquisio
Colombia-Bolivar-Turbaco,city,Colombia,Bolivar,Turbaco,Turbaco
Colombia-Bolivar-Turbana,city,Colombia,Bolivar,Turbana,Turbana
Colombia-Bolivar-Villanueva,city,Colombia,Bolivar,Villanueva,Villanueva
Colombia-Bolivar-Zambrano,city,Colombia,Bolivar,Zambrano,Zambrano
Colombia-Boyaca-Tunja,city,Colombia,Boyaca,Tunja,Tunja
Colombia-Boyaca-Almeida,city,Colombia,Boyaca,Almeida,Almeida
Colombia-Boyaca-Aquitania,city,Colombia,Boyaca,Aquitania,Aquitania
Colombia-Boyaca-Arcabuco,city,Colombia,Boyaca,Arcabuco,Arcabuco
Colombia-Boyaca-Belen,city,Colombia,Boyaca,Belen,Belen
Colombia-Boyaca-Berbeo,city,Colombia,Boyaca,Berbeo,Berbeo
Colombia-Boyaca-Beteitiva,city,Colombia,Boyaca,Beteitiva,Beteitiva
Colombia-Boyaca-Boavita,city,Colombia,Boyaca,Boavita,Boavita
Colombia-Boyaca-Boyaca,city,Colombia,Boyaca,Boyaca,Boyaca
Colombia-Boyaca-Briceno,city,Colombia,Boyaca,Briceno,Briceno
Colombia-Boyaca-Buenavista,city,Colombia,Boyaca,Buenavista,Buenavista
Colombia-Boyaca-Busbanza,city,Colombia,Boyaca,Busbanza,Busbanza
Colombia-Boyaca-Caldas,city,Colombia,Boyaca,Caldas,Caldas
Colombia-Boyaca-Campohermoso,city,Colombia,Boyaca,Campohermoso,Campohermoso
Colombia-Boyaca-Cerinza,city,Colombia,Boyaca,Cerinza,Cerinza
Colombia-Boyaca-Chinavita,city,Colombia,Boyaca,Chinavita,Chinavita
Colombia-Boyaca-Chiquinquira,city,Colombia,Boyaca,Chiquinquira,Chiquinquira
Colombia-Boyaca-Chiscas,city,Colombia,Boyaca,Chiscas,Chiscas
Colombia-Boyaca-Chita,city,Colombia,Boyaca,Chita,Chita
Colombia-Boyaca-Chitaraque,city,Colombia,Boyaca,Chitaraque,Chitaraque
Colombia-Boyaca-Chivata,city,Colombia,Boyaca,Chivata,Chivata
Colombia-Boyaca-Cienega,city,Colombia,Boyaca,Cienega,Cienega
Colombia-Boyaca-Combita,city,Colombia,Boyaca,Combita,Combita
Colombia-Boyaca-Coper,city,Colombia,Boyaca,Coper,Coper
Colombia-Boyaca-Corrales,city,Colombia,Boyaca,Corrales,Corrales
Colombia-Boyaca-Covarachia,city,Colombia,Boyaca,Covarachia,Covarachia
Colombia-Boyaca-Cubara,city,Colombia,Boyaca,Cubara,Cubara
Colombia-Boyaca-Cucaita,city,Colombia,Boyaca,Cucaita,Cucaita
Colombia-Boyaca-Cuitiva,city,Colombia,Boyaca,Cuitiva,Cuitiva
Colombia-Boyaca-Chiquiza,city,Colombia,Boyaca,Chiquiza,Chiquiza
Colombia-Boyaca-Chivor,city,Colombia,Boyaca,Chivor,Chivor
Colombia-Boyaca-Duitama,city,Colombia,Boyaca,Duitama,Duitama
Colombia-Boyaca-El_Cocuy,city,Colombia,Boyaca,El Cocuy,El Cocuy
Colombia-Boyaca-El_Espino,city,Colombia,Boyaca,El Espino,El Espino
Colombia-Boyaca-Firavitoba,city,Colombia,Boyaca,Firavitoba,Firavitoba
Colombia-Boyaca-Floresta,city,Colombia,Boyaca,Floresta,Floresta
Colombia-Boyaca-Gachantiva,city,Colombia,Boyaca,Gachantiva,Gachantiva
Colombia-Boyaca-Gameza,city,Colombia,Boyaca,Gameza,Gameza
Colombia-Boyaca-Garagoa,city,Colombia,Boyaca,Garagoa,Garagoa
Colombia-Boyaca-Guacamayas,city,Colombia,Boyaca,Guacamayas,Guacamayas
Colombia-Boyaca-Guateque,city,Colombia,Boyaca,Guateque,Guateque
Colombia-Boyaca-Guayata,city,Colombia,Boyaca,Guayata,Guayata
Colombia-Boyaca-Guican,city,Colombia,Boyaca,Guican,Guican
Colombia-Boyaca-Iza,city,Colombia,Boyaca,Iza,Iza
Colombia-Boyaca-Jenesano,city,Colombia,Boyaca,Jenesano,Jenesano
Colombia-Boyaca-Jerico,city,Colombia,Boyaca,Jerico,Jerico
Colombia-Boyaca-Labranzagrande,city,Colombia,Boyaca,Labranzagrande,Labranzagrande
Colombia-Boyaca-La_Capilla,city,Colombia,Boyaca,La Capilla,La Capilla
Colombia-Boyaca-La_Victoria,city,Colombia,Boyaca,La Victoria,La Victoria
Colombia-Boyaca-La_Uvita,city,Colombia,Boyaca,La Uvita,La Uvita
Colombia-Boyaca-Villa_De_Leyva,city,Colombia,Boyaca,Villa De Leyva,Villa De Leyva
Colombia-Boyaca-Macanal,city,Colombia,Boyaca,Macanal,Macanal
Colombia-Boyaca-Maripi,city,Colombia,Boyaca,Maripi,Maripi
Colombia-Boyaca-Miraflores,city,Colombia,Boyaca,Miraflores,Miraflores
Colombia-Boyaca-Mongua,city,Colombia,Boyaca,Mongua,Mongua
Colombia-Boyaca-Mongui,city,Colombia,Boyaca,Mongui,Mongui
Colombia-Boyaca-Moniquira,city,Colombia,Boyaca,Moniquira,Moniquira
Colombia-Boyaca-Motavita,city,Colombia,Boyaca,Motavita,Motavita
Colombia-Boyaca-Muzo,city,Colombia,Boyaca,Muzo,Muzo
Colombia-Boyaca-Nobsa,city,Colombia,Boyaca,Nobsa,Nobsa
Colombia-Boyaca-Nuevo_Colon,city,Colombia,Boyaca,Nuevo Colon,Nuevo Colon
Colombia-Boyaca-Oicata,city,Colombia,Boyaca,Oicata,Oicata
Colombia-Boyaca-Otanche,city,Colombia,Boyaca,Otanche,Otanche
Colombia-Boyaca-Pachavita,city,Colombia,Boyaca,Pachavita,Pachavita
Colombia-Boyaca-Paez,city,Colombia,Boyaca,Paez,Paez
Colombia-Boyaca-Paipa,city,Colombia,Boyaca,Paipa,Paipa
Colombia-Boyaca-Pajarito,city,Colombia,Boyaca,Pajarito,Pajarito
Colombia-Boyaca-Panqueba,city,Colombia,Boyaca,Panqueba,Panqueba
Colombia-Boyaca-Pauna,city,Colombia,Boyaca,Pauna,Pauna
Colombia-Boyaca-Paya,city,Colombia,Boyaca,Paya,Paya
Colombia-Boyaca-Paz_De_Rio,city,Colombia,Boyaca,Paz De Rio,Paz De Rio
Colombia-Boyaca-Pesca,city,Colombia,Boyaca,Pesca,Pesca
Colombia-Boyaca-Pisba,city,Colombia,Boyaca,Pisba,Pisba
Colombia-Boyaca-Puerto_Boyaca,city,Colombia,Boyaca,Puerto Boyaca,Puerto Boyaca
Colombia-Boyaca-Quipama,city,Colombia,Boyaca,Quipama,Quipama
