location,location_type,country,province,county,city,latitude,longitude
Colombia-Atlantico-Luruaco,city,Colombia,Atlantico,Luruaco,Luruaco,10.60959,-75.142287
Colombia-Atlantico-Malambo,city,Colombia,Atlantico,Malambo,Malambo,10.8575824,-74.7746834
Colombia-Atlantico-Manati,city,Colombia,Atlantico,Manati,Manati,10.449239,-74.95937099999999
Colombia-Atlantico-Palmar_De_Varela,city,Colombia,Atlantico,Palmar De Varela,Palmar De Varela,10.74044,-74.75527199999999
Colombia-Atlantico-Piojo,city,Colombia,Atlantico,Piojo,Piojo,10.748716,-75.107922
Colombia-Atlantico-Polonuevo,city,Colombia,Atlantico,Polonuevo,Polonuevo,10.777471,-74.853162
Colombia-Atlantico-Ponedera,city,Colombia,Atlantico,Ponedera,Ponedera,10.641772,-74.753281
Colombia-Atlantico-Puerto_Colombia,city,Colombia,Atlantico,Puerto Colombia,Puerto Colombia,11.001004,-74.950761
Colombia-Atlantico-Repelon,city,Colombia,Atlantico,Repelon,Repelon,10.494762,-75.123706
Colombia-Atlantico-Sabanagrande,city,Colombia,Atlantico,Sabanagrande,Sabanagrande,10.789771,-74.755201
Colombia-Atlantico-Sabanalarga,city,Colombia,Atlantico,Sabanalarga,Sabanalarga,6.8498854,-75.81741760000001
Colombia-Atlantico-Santa_Lucia,city,Colombia,Atlantico,Santa Lucia,Santa Lucia,10.323959,-74.961495
Colombia-Atlantico-Santo_Tomas,city,Colombia,Atlantico,Santo Tomas,Santo Tomas,10.763286,-74.75649899999999
Colombia-Atlantico-Soledad,city,Colombia,Atlantico,Soledad,Soledad,10.9170486,-74.799071
Colombia-Atlantico-Suan,city,Colombia,Atlantico,Suan,Suan,10.332392,-74.879829
Colombia-Atlantico-Tubara,city,Colombia,Atlantico,Tubara,Tubara,10.872762,-74.97735399999999
Colombia-Atlantico-Usiacuri,city,Colombia,Atlantico,Usiacuri,Usiacuri,10.741163,-74.976528
Colombia-Cartagena-Cartagena,city,Colombia,Cartagena,Cartagena,Cartagena,10.3910485,-75.4794257
Colombia-Bolivar-Achi,city,Colombia,Bolivar,Achi,Achi,8.567684999999999,-74.5559339
Colombia-Bolivar-Altos_Del_Rosario,city,Colombia,Bolivar,Altos Del Rosario,Altos Del Rosario,8.792731999999999,-74.16436519999999
Colombia-Bolivar-Arenal,city,Colombia,Bolivar,Arenal,Arenal,8.45917,-73.94093
Colombia-Bolivar-Arjona,city,Colombia,Bolivar,Arjona,Arjona,10.252471,-75.347308
Colombia-Bolivar-Arroyohondo,city,Colombia,Bolivar,Arroyohondo,Arroyohondo,10.256929,-75.019121
Colombia-Bolivar-Barranco_De_Loba,city,Colombia,Bolivar,Barranco De Loba,Barranco De Loba,8.94862,-74.11247999999999
Colombia-Bolivar-Calamar,city,Colombia,Bolivar,Calamar,Calamar,10.249349,-74.914706
Colombia-Bolivar-Cantagallo,city,Colombia,Bolivar,Cantagallo,Cantagallo,7.381529999999999,-73.91912099999999
Colombia-Bolivar-Cicuco,city,Colombia,Bolivar,Cicuco,Cicuco,9.276819999999999,-74.64532
Colombia-Bolivar-Cordoba,city,Colombia,Bolivar,Cordoba,Cordoba,8.049293,-75.57405
Colombia-Bolivar-Clemencia,city,Colombia,Bolivar,Clemencia,Clemencia,10.568962,-75.3257409
Colombia-Bolivar-El_Carmen_De_Bolivar,city,Colombia,Bolivar,El Carmen De Bolivar,El Carmen De Bolivar,9.721064,-75.11573299999999
Colombia-Bolivar-El_Guamo,city,Colombia,Bolivar,El Guamo,El Guamo,4.02926,-74.974795
Colombia-Bolivar-El_Penon,city,Colombia,Bolivar,El Penon,El Penon,6.223611,-75.178333
Colombia-Bolivar-Hatillo_De_Loba,city,Colombia,Bolivar,Hatillo De Loba,Hatillo De Loba,8.956007,-74.0774969
Colombia-Bolivar-Magangue,city,Colombia,Bolivar,Magangue,Magangue,9.2414156,-74.7527587
Colombia-Bolivar-Mahates,city,Colombia,Bolivar,Mahates,Mahates,10.235048,-75.19129699999999
Colombia-Bolivar-Margarita,city,Colombia,Bolivar,Margarita,Margarita,9.0833333,-74.5
Colombia-Bolivar-Maria_La_Baja,city,Colombia,Bolivar,Maria La Baja,Maria La Baja,9.983775,-75.303139
Colombia-Bolivar-Montecristo,city,Colombia,Bolivar,Montecristo,Montecristo,8.299479999999999,-74.47563
Colombia-Bolivar-Mompos,city,Colombia,Bolivar,Mompos,Mompos,9.240146,-74.42449599999999
Colombia-Bolivar-Norosi,city,Colombia,Bolivar,Norosi,Norosi,8.528027,-74.037018
Colombia-Bolivar-Morales,city,Colombia,Bolivar,Morales,Morales,2.753912,-76.628114
Colombia-Bolivar-Pinillos,city,Colombia,Bolivar,Pinillos,Pinillos,8.9245,-74.47032999999999
Colombia-Bolivar-Regidor,city,Colombia,Bolivar,Regidor,Regidor,8.665089,-73.82266299999999
Colombia-Bolivar-Rio_Viejo,city,Colombia,Bolivar,Rio Viejo,Rio Viejo,8.588396999999999,-73.84025799999999
Colombia-Bolivar-San_Cristobal,city,Colombia,Bolivar,San Cristobal,San Cristobal,10.39432,-75.063889
Colombia-Bolivar-San_Estanislao,city,Colombia,Bolivar,San Estanislao,San Estanislao,10.39902,-75.15223999999999
Colombia-Bolivar-San_Fernando,city,Colombia,Bolivar,San Fernando,San Fernando,9.21758,-74.3271649
Colombia-Bolivar-San_Jacinto,city,Colombia,Bolivar,San Jacinto,San Jacinto,9.834831999999999,-75.120521
Colombia-Bolivar-San_Jacinto_Del_Cauca,city,Colombia,Bolivar,San Jacinto Del Cauca,San Jacinto Del Cauca,8.2498841,-74.72236749999999
Colombia-Bolivar-San_Juan_Nepomuceno,city,Colombia,Bolivar,San Juan Nepomuceno,San Juan Nepomuceno,9.951139999999999,-75.083828
Colombia-Bolivar-San_Martin_De_Loba,city,Colombia,Bolivar,San Martin De Loba,San Martin De Loba,8.940875,-74.03787
Colombia-Bolivar-San_Pablo,city,Colombia,Bolivar,San Pablo,San Pablo,7.477887,-73.92410799999999
Colombia-Bolivar-Santa_Catalina,city,Colombia,Bolivar,Santa Catalina,Santa Catalina,13.3875121,-81.37568619999999
Colombia-Bolivar-Santa_Rosa,city,Colombia,Bolivar,Santa Rosa,Santa Rosa,4.870121,-75.62239
Colombia-Bolivar-Santa_Rosa_Del_Sur,city,Colombia,Bolivar,Santa Rosa Del Sur,Santa Rosa Del Sur,7.9629547,-74.0520439
Colombia-Bolivar-Simiti,city,Colombia,Bolivar,Simiti,Simiti,7.957151,-73.946404
Colombia-Bolivar-Soplaviento,city,Colombia,Bolivar,Soplaviento,Soplaviento,10.390061,-75.1360119
Colombia-Bolivar-Talaigua_Nuevo,city,Colombia,Bolivar,Talaigua Nuevo,Talaigua Nuevo,9.303469000000002,-74.567972
Colombia-Bolivar-Tiquisio,city,Colombia,Bolivar,Tiquisio,Tiquisio,8.55768,-74.26361
Colombia-Bolivar-Turbaco,city,Colombia,Bolivar,Turbaco,Turbaco,10.334638,-75.412672
Colombia-Bolivar-Turbana,city,Colombia,Bolivar,Turbana,Turbana,10.274743,-75.441594
Colombia-Bolivar-Villanueva,city,Colombia,Bolivar,Villanueva,Villanueva,10.603721,-72.98193599999999
Colombia-Bolivar-Zambrano,city,Colombia,Bolivar,Zambrano,Zambrano,9.744553999999999,-74.81620000000001
Colombia-Boyaca-Tunja,city,Colombia,Boyaca,Tunja,Tunja,5.5446422,-73.3575572
Colombia-Boyaca-Almeida,city,Colombia,Boyaca,Almeida,Almeida,4.97088,-73.37989999999999
Colombia-Boyaca-Aquitania,city,Colombia,Boyaca,Aquitania,Aquitania,5.5197139,-72.88419800000001
Colombia-Boyaca-Arcabuco,city,Colombia,Boyaca,Arcabuco,Arcabuco,5.754518,-73.437338
Colombia-Boyaca-Belen,city,Colombia,Boyaca,Belen,Belen,6.231928,-75.60116719999999
Colombia-Boyaca-Berbeo,city,Colombia,Boyaca,Berbeo,Berbeo,5.226973999999999,-73.127259
Colombia-Boyaca-Beteitiva,city,Colombia,Boyaca,Beteitiva,Beteitiva,5.910362,-72.808987
Colombia-Boyaca-Boavita,city,Colombia,Boyaca,Boavita,Boavita,6.331521,-72.583418
Colombia-Boyaca-Boyaca,city,Colombia,Boyaca,Boyaca,Boyaca,5.454511,-73.362003
Colombia-Boyaca-Briceno,city,Colombia,Boyaca,Briceno,Briceno,5.690024999999999,-73.92287999999999
Colombia-Boyaca-Buenavista,city,Colombia,Boyaca,Buenavista,Buenavista,4.358752,-75.740163
Colombia-Boyaca-Busbanza,city,Colombia,Boyaca,Busbanza,Busbanza,5.830509,-72.883814
Colombia-Boyaca-Caldas,city,Colombia,Boyaca,Caldas,Caldas,5.29826,-75.2479061
Colombia-Boyaca-Campohermoso,city,Colombia,Boyaca,Campohermoso,Campohermoso,5.031048,-73.103869
Colombia-Boyaca-Cerinza,city,Colombia,Boyaca,Cerinza,Cerinza,5.95661,-72.9489509
Colombia-Boyaca-Chinavita,city,Colombia,Boyaca,Chinavita,Chinavita,5.166615,-73.36877
