location,density_per_km
Colombia-Bolivar-San_Cristobal,169.1943817138672
Colombia-Bolivar-San_Estanislao,83.22530364990234
Colombia-Bolivar-San_Fernando,53.17511749267578
Colombia-Bolivar-San_Jacinto,42.405731201171875
Colombia-Bolivar-San_Jacinto_Del_Cauca,40.66033935546875
Colombia-Bolivar-San_Juan_Nepomuceno,53.32006072998047
Colombia-Bolivar-San_Martin_De_Loba,41.110008239746094
Colombia-Bolivar-San_Pablo,26.240144729614258
Colombia-Bolivar-Santa_Catalina,277.560302734375
Colombia-Bolivar-Santa_Rosa,158.7386932373047
Colombia-Bolivar-Santa_Rosa_Del_Sur,25.192306518554688
Colombia-Bolivar-Simiti,13.612668991088867
Colombia-Bolivar-Soplaviento,145.0684051513672
Colombia-Bolivar-Talaigua_Nuevo,62.86188507080078
Colombia-Bolivar-Tiquisio,430.577392578125
Colombia-Bolivar-Turbaco,600.6116943359375
Colombia-Bolivar-Turbana,120.36943817138672
Colombia-Bolivar-Villanueva,112.98785400390625
Colombia-Bolivar-Zambrano,44.17820358276367
Colombia-Boyaca-Tunja,2004.09033203125
Colombia-Boyaca-Almeida,21.245033264160156
Colombia-Boyaca-Aquitania,19.172607421875
Colombia-Boyaca-Arcabuco,41.8131103515625
Colombia-Boyaca-Belen,8364.98046875
Colombia-Boyaca-Berbeo,31.950740814208984
Colombia-Boyaca-Beteitiva,20.47737693786621
Colombia-Boyaca-Boavita,33.89521408081055
Colombia-Boyaca-Boyaca,112.85114288330078
Colombia-Boyaca-Briceno,50.83168411254883
Colombia-Boyaca-Buenavista,57.58235168457031
Colombia-Boyaca-Busbanza,54.473514556884766
Colombia-Boyaca-Caldas,8.757612228393555
Colombia-Boyaca-Campohermoso,12.799112319946289
Colombia-Boyaca-Cerinza,55.994537353515625
Colombia-Boyaca-Chinavita,29.287662506103516
Colombia-Boyaca-Chiquinquira,479.3590087890625
Colombia-Boyaca-Chiscas,6.829509258270264
Colombia-Boyaca-Chita,10.64274787902832
Colombia-Boyaca-Chitaraque,38.511024475097656
Colombia-Boyaca-Chivata,155.325439453125
Colombia-Boyaca-Cienega,98.46766662597656
Colombia-Boyaca-Combita,113.19453430175781
Colombia-Boyaca-Coper,21.513351440429688
Colombia-Boyaca-Corrales,38.94173812866211
Colombia-Boyaca-Covarachia,24.326738357543945
Colombia-Boyaca-Cubara,6.406479835510254
Colombia-Boyaca-Cucaita,118.83733367919922
Colombia-Boyaca-Cuitiva,60.27125930786133
Colombia-Boyaca-Chiquiza,43.8023567199707
Colombia-Boyaca-Chivor,11.939599990844727
Colombia-Boyaca-Duitama,484.5221862792969
Colombia-Boyaca-El_Cocuy,19.45735740661621
Colombia-Boyaca-El_Espino,12.674837112426758
Colombia-Boyaca-Firavitoba,58.94674301147461
Colombia-Boyaca-Floresta,54.967018127441406
Colombia-Boyaca-Gachantiva,30.242488861083984
Colombia-Boyaca-Gameza,41.10844421386719
Colombia-Boyaca-Garagoa,100.31993103027344
Colombia-Boyaca-Guacamayas,26.620424270629883
Colombia-Boyaca-Guateque,288.4057312011719
Colombia-Boyaca-Guayata,30.692609786987305
Colombia-Boyaca-Guican,7.331421852111816
Colombia-Boyaca-Iza,79.20668029785156
Colombia-Boyaca-Jenesano,118.29093170166016
Colombia-Boyaca-Jerico,87.2789306640625
Colombia-Boyaca-Labranzagrande,8.799446105957031
Colombia-Boyaca-La_Capilla,41.17617416381836
Colombia-Boyaca-La_Victoria,96.78067779541016
Colombia-Boyaca-La_Uvita,15.800785064697266
Colombia-Boyaca-Villa_De_Leyva,183.64120483398438
Colombia-Boyaca-Macanal,28.254642486572266
Colombia-Boyaca-Maripi,46.40650177001953
Colombia-Boyaca-Miraflores,1.292675256729126
Colombia-Boyaca-Mongua,17.50701141357422
Colombia-Boyaca-Mongui,85.9007568359375
Colombia-Boyaca-Moniquira,112.96739196777344
Colombia-Boyaca-Motavita,207.88783264160156
Colombia-Boyaca-Muzo,57.50408172607422
Colombia-Boyaca-Nobsa,406.2156982421875
Colombia-Boyaca-Nuevo_Colon,149.13882446289062
Colombia-Boyaca-Oicata,57.07761001586914
Colombia-Boyaca-Otanche,23.769168853759766
Colombia-Boyaca-Pachavita,31.739633560180664
Colombia-Boyaca-Paez,21.04546356201172
Colombia-Boyaca-Paipa,116.17091369628906
Colombia-Boyaca-Pajarito,3.6507949829101562
Colombia-Boyaca-Panqueba,32.06928253173828
Colombia-Boyaca-Pauna,48.82359313964844
Colombia-Boyaca-Paya,6.490078926086426
Colombia-Boyaca-Paz_De_Rio,36.144710540771484
Colombia-Boyaca-Pesca,22.958444595336914
Colombia-Boyaca-Pisba,2.541586399078369
Colombia-Boyaca-Puerto_Boyaca,66.1268539428711
Colombia-Boyaca-Quipama,37.67036437988281
Colombia-Boyaca-Ramiriqui,78.8746337890625
Colombia-Boyaca-Raquira,74.86212158203125
Colombia-Boyaca-Rondon,18.128368377685547
Colombia-Boyaca-Saboya,54.05162811279297
Colombia-Boyaca-Sachica,61.02427291870117
Colombia-Boyaca-Samaca,159.00762939453125
Colombia-Boyaca-San_Eduardo,16.461944580078125
Colombia-Boyaca-San_Jose_De_Pare,77.82357788085938
Colombia-Boyaca-San_Luis_De_Gaceno,11.158578872680664
Colombia-Boyaca-San_Mateo,22.39105987548828
Colombia-Boyaca-San_Miguel_De_Sema,51.11933898925781
Colombia-Boyaca-San_Pablo_De_Borbur,60.62064743041992
Colombia-Boyaca-Santana,117.30674743652344
Colombia-Boyaca-Santa_Maria,282.2861328125
Colombia-Boyaca-Santa_Rosa_De_Viterbo,118.8472900390625
Colombia-Boyaca-Santa_Sofia,32.03833770751953
Colombia-Boyaca-Sativanorte,12.182180404663086
Colombia-Boyaca-Sativasur,15.277400016784668
Colombia-Boyaca-Siachoque,68.74376678466797
Colombia-Boyaca-Soata,33.78831481933594
Colombia-Boyaca-Socota,18.36050033569336
Colombia-Boyaca-Socha,46.377220153808594
Colombia-Boyaca-Sogamoso,603.165771484375
Colombia-Boyaca-Somondoco,58.16371536254883
Colombia-Boyaca-Sora,71.98502349853516
Colombia-Boyaca-Sotaquira,27.180431365966797
Colombia-Boyaca-Soraca,98.43385314941406
Colombia-Boyaca-Susacon,14.429356575012207
Colombia-Boyaca-Sutamarchan,64.00726318359375
Colombia-Boyaca-Sutatenza,147.81581115722656
Colombia-Boyaca-Tasco,29.06585693359375
Colombia-Boyaca-Tenza,90.52860260009766
Colombia-Boyaca-Tibana,80.02478790283203
Colombia-Boyaca-Tibasosa,196.29446411132812
Colombia-Boyaca-Tinjaca,37.928672790527344
Colombia-Boyaca-Tipacoque,45.955718994140625
Colombia-Boyaca-Toca,66.76347351074219
Colombia-Boyaca-Togui,126.3458251953125
Colombia-Boyaca-Topaga,124.10810089111328
Colombia-Boyaca-Tota,34.58177185058594
Colombia-Boyaca-Tunungua,62.96299743652344
Colombia-Boyaca-Turmeque,60.88636016845703
Colombia-Boyaca-Tuta,68.87884521484375
Colombia-Boyaca-Tutaza,15.604297637939453
Colombia-Boyaca-Umbita,78.76686096191406
Colombia-Boyaca-Ventaquemada,126.34580993652344
Colombia-Boyaca-Viracacha,52.383460998535156
Colombia-Boyaca-Zetaquira,18.266706466674805
Colombia-Caldas-Manizales,1017.676025390625
Colombia-Caldas-Aguadas,26.562015533447266
Colombia-Caldas-Anserma,143.80563354492188
Colombia-Caldas-Aranzazu,68.08667755126953
Colombia-Caldas-Belalcazar,94.54801940917969
Colombia-Caldas-Chinchina,452.12249755859375
