location,mosquito_dist
Colombia-Boyaca-Guayata,0.6889534462529967
Colombia-Boyaca-Guican,0.9197096276930121
Colombia-Boyaca-Iza,2.2555122584020006
Colombia-Boyaca-Jenesano,1.5959861123449992
Colombia-Boyaca-Jerico,0.22692887389300376
Colombia-Boyaca-Labranzagrande,2.3076917605530056
Colombia-Boyaca-La_Capilla,0.9281519094489988
Colombia-Boyaca-La_Victoria,0.10635704924500927
Colombia-Boyaca-La_Uvita,0.9429640776400027
Colombia-Boyaca-Villa_De_Leyva,1.3155214523650203
Colombia-Boyaca-Macanal,0.7729367258769987
Colombia-Boyaca-Maripi,0.4525609406718124
Colombia-Boyaca-Miraflores,1.980327437511997
Colombia-Boyaca-Mongua,1.9408168275273707
Colombia-Boyaca-Mongui,1.9965903683570094
Colombia-Boyaca-Moniquira,1.0264496122690043
Colombia-Boyaca-Motavita,1.710987927805019
Colombia-Boyaca-Muzo,0.3281341498970056
Colombia-Boyaca-Nobsa,1.8366461616412133
Colombia-Boyaca-Nuevo_Colon,1.4794930821490153
Colombia-Boyaca-Oicata,1.8752209668584163
Colombia-Boyaca-Otanche,0.2645541523600111
Colombia-Boyaca-Pachavita,1.0342037030900009
Colombia-Boyaca-Paez,0.9103783075999936
Colombia-Boyaca-Paipa,1.7695396785250008
Colombia-Boyaca-Pajarito,1.5087721451708156
Colombia-Boyaca-Panqueba,0.8817083078172179
Colombia-Boyaca-Pauna,0.4970941940500147
Colombia-Boyaca-Paya,2.632579044999998
Colombia-Boyaca-Paz_De_Rio,1.398811643413221
Colombia-Boyaca-Pesca,2.16583124585
Colombia-Boyaca-Pisba,2.3280970938340166
Colombia-Boyaca-Puerto_Boyaca,0.01470390019400044
Colombia-Boyaca-Quipama,0.24426936274001046
Colombia-Boyaca-Ramiriqui,1.6536960139250014
Colombia-Boyaca-Raquira,1.0849211920560138
Colombia-Boyaca-Rondon,1.6346283062778046
Colombia-Boyaca-Saboya,0.8130058298500279
Colombia-Boyaca-Sachica,1.2887918281060053
Colombia-Boyaca-Samaca,1.4032723582450024
Colombia-Boyaca-San_Eduardo,1.3013148463120026
Colombia-Boyaca-San_Jose_De_Pare,0.8952704074740203
Colombia-Boyaca-San_Luis_De_Gaceno,0.5764795042000003
Colombia-Boyaca-San_Mateo,0.8208844191982179
Colombia-Boyaca-San_Miguel_De_Sema,0.9023464436900223
Colombia-Boyaca-San_Pablo_De_Borbur,0.38425776080001284
Colombia-Boyaca-Santana,0.9615263904999954
Colombia-Boyaca-Santa_Maria,0.3931236637273786
Colombia-Boyaca-Santa_Rosa_De_Viterbo,1.5470590133260151
Colombia-Boyaca-Santa_Sofia,1.1225096461450064
Colombia-Boyaca-Sativanorte,1.1275514710660084
Colombia-Boyaca-Sativasur,1.1998260502930134
Colombia-Boyaca-Siachoque,2.0023291932199974
Colombia-Boyaca-Soata,0.7910477505070154
Colombia-Boyaca-Socota,1.375421557445005
Colombia-Boyaca-Socha,1.4210948391250013
Colombia-Boyaca-Sogamoso,1.9786718772062564
Colombia-Boyaca-Somondoco,0.7373009125689987
Colombia-Boyaca-Sora,1.5018193272690277
Colombia-Boyaca-Sotaquira,1.789551934755993
Colombia-Boyaca-Soraca,1.7909542362020041
Colombia-Boyaca-Susacon,0.9584513641940025
Colombia-Boyaca-Sutamarchan,1.121471216105011
Colombia-Boyaca-Sutatenza,0.7944460272400022
Colombia-Boyaca-Tasco,1.5564998209160021
Colombia-Boyaca-Tenza,0.903387949296998
Colombia-Boyaca-Tibana,1.4152143518739975
